marker,chr,pos,trait,gene,lod,threshold,iteration,var_exp,eff_size,ci_l_marker,ci_l_pos,ci_r_marker,ci_r_pos
I_398834,I,398834,A_12_P104472,sqst-5,0.03145490930775161,3.77,1,NA,NA,NA,NA,NA,NA
I_406997,I,406997,A_12_P104472,sqst-5,0.03145490930775161,3.77,1,NA,NA,NA,NA,NA,NA
I_409309,I,409309,A_12_P104472,sqst-5,0.03145490930775161,3.77,1,NA,NA,NA,NA,NA,NA
I_541502,I,541502,A_12_P104472,sqst-5,0.03145490930775161,3.77,1,NA,NA,NA,NA,NA,NA
I_544701,I,544701,A_12_P104472,sqst-5,0.03145490930775161,3.77,1,NA,NA,NA,NA,NA,NA
I_569087,I,569087,A_12_P104472,sqst-5,0.03145490930775161,3.77,1,NA,NA,NA,NA,NA,NA
I_590394,I,590394,A_12_P104472,sqst-5,0.03145490930775161,3.77,1,NA,NA,NA,NA,NA,NA
I_602634,I,602634,A_12_P104472,sqst-5,0.03145490930775161,3.77,1,NA,NA,NA,NA,NA,NA
I_614509,I,614509,A_12_P104472,sqst-5,0.06569154289745772,3.77,1,NA,NA,NA,NA,NA,NA
I_627305,I,627305,A_12_P104472,sqst-5,0.06569154289745772,3.77,1,NA,NA,NA,NA,NA,NA
I_628622,I,628622,A_12_P104472,sqst-5,0.02930070952987336,3.77,1,NA,NA,NA,NA,NA,NA
I_630968,I,630968,A_12_P104472,sqst-5,0.0036335279898021835,3.77,1,NA,NA,NA,NA,NA,NA
I_652712,I,652712,A_12_P104472,sqst-5,0.0036335279898021835,3.77,1,NA,NA,NA,NA,NA,NA
I_721214,I,721214,A_12_P104472,sqst-5,0.0036335279898021835,3.77,1,NA,NA,NA,NA,NA,NA
I_721783,I,721783,A_12_P104472,sqst-5,0.0036335279898021835,3.77,1,NA,NA,NA,NA,NA,NA
I_727020,I,727020,A_12_P104472,sqst-5,0.0036335279898021835,3.77,1,NA,NA,NA,NA,NA,NA
I_763259,I,763259,A_12_P104472,sqst-5,0.0036335279898021835,3.77,1,NA,NA,NA,NA,NA,NA
I_764322,I,764322,A_12_P104472,sqst-5,9.81029443839155e-5,3.77,1,NA,NA,NA,NA,NA,NA
I_776110,I,776110,A_12_P104472,sqst-5,0.00577156755688915,3.77,1,NA,NA,NA,NA,NA,NA
I_781125,I,781125,A_12_P104472,sqst-5,0.00577156755688915,3.77,1,NA,NA,NA,NA,NA,NA
I_800506,I,800506,A_12_P104472,sqst-5,0.00577156755688915,3.77,1,NA,NA,NA,NA,NA,NA
I_804813,I,804813,A_12_P104472,sqst-5,0.00577156755688915,3.77,1,NA,NA,NA,NA,NA,NA
I_813570,I,813570,A_12_P104472,sqst-5,0.00577156755688915,3.77,1,NA,NA,NA,NA,NA,NA
I_854751,I,854751,A_12_P104472,sqst-5,0.00577156755688915,3.77,1,NA,NA,NA,NA,NA,NA
I_860292,I,860292,A_12_P104472,sqst-5,0.03018179923490258,3.77,1,NA,NA,NA,NA,NA,NA
I_860921,I,860921,A_12_P104472,sqst-5,0.03018179923490258,3.77,1,NA,NA,NA,NA,NA,NA
