trait,chr1,chr2,pos1f,pos2f,lod.full,lod.fv1,lod.int,pos1a,pos2a,lod.add,lod.av1,fv1_thresh,full_thresh,add_thresh,av1_thresh,int_thresh
zinc_median.EXT,I,I,4465991,4536119,5.59425636322851,4.699185807104997,0.4848281299752575,4534501,4536119,5.109428233253253,4.2143576771297395,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,I,II,1802428,14113352,3.9636847052845843,3.0686141491610712,2.2248811621385274,2820998,13217015,1.738803543146057,0.8437329870225438,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,I,III,3511120,119077,13.391455393064177,1.3914011519822047,0.1447760723819531,3511120,119077,13.246679320682224,1.2466250796002516,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,I,IV,13623980,15981169,4.911178446379267,2.136092939697835,0.9895233518937072,2820998,15981169,3.92165509448556,1.146569587804128,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,I,V,3174340,12288279,7.734922128099498,1.9141703075247838,0.8863816665456596,12729824,12288279,6.8485404615538386,1.0277886409791241,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,I,X,2820998,12606619,4.755628426938303,2.147042877979718,0.8188973005226861,2820998,12606619,3.936731126415617,1.328145577457032,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,II,II,14134199,14179431,5.056805355802657,4.343639131196339,0.07134365596756354,14177240,14271674,4.985461699835094,4.272295475228775,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,II,III,14465917,119077,13.351040966061428,1.350986724979455,0.054944591031750534,14465917,119077,13.296096375029677,1.2960421339477044,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,II,IV,8864770,16419598,4.752341741386704,1.9772562347052722,1.4557243278124012,13378227,15981169,3.296617413574303,0.521531906892871,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,II,V,1070159,12288279,7.702435367920227,1.8816835473455127,1.0622807668486782,13238299,12288279,6.640154601071549,0.8194027804968345,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,II,X,12260585,12606619,4.290612935734079,1.682027386775494,0.7946974007605854,13193835,12606619,3.4959155349734936,0.8873299860149086,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,III,III,186567,11687275,14.476048872266487,2.4759946311845145,1.1390745363729717,119077,11687275,13.336974335893515,1.3369200948115427,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,III,IV,119077,15987101,16.475174757129817,4.475120516047845,0.1370041548350187,119077,15987101,16.3381706022948,4.338116361212826,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,III,V,119077,12298716,16.959899565788394,4.959845324706421,0.29241671379915957,119077,12298716,16.667482851989234,4.667428610907262,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,III,X,186567,15180556,16.388580461465317,4.388526220383344,0.28639983163240856,186567,15180556,16.102180629832908,4.102126388750936,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,IV,IV,15467845,15472568,5.929365804096158,3.154280297414726,0.1307051464073572,15467845,15471143,5.798660657688801,3.023575151007369,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,IV,V,15981169,12288279,8.762752807532292,2.942000986957578,0.32387838308652306,16364202,12288279,8.43887442444577,2.618122603871055,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,IV,X,15660779,10221622,6.426211289111734,3.651125782430302,1.385523213014972,15987101,6725947,5.040688076096762,2.26560256941533,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,V,V,4607533,12288279,9.255015780841978,3.4342639602672635,1.0123526629666362,4209649,12288279,8.242663117875342,2.4219112973006274,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,V,X,12288279,12606619,10.03944534564539,4.218693525070676,0.27937576849678436,12288279,12606619,9.760069577148606,3.9393177565738915,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
zinc_median.EXT,X,X,14774531,14798031,6.55251762296548,3.943932074006895,0.1155021954558979,14789950,14798031,6.437015427509582,3.828429878550997,6.247174735859339,7.775680864331496,6.812033756821435,5.362490823319601,4.091175806118061
