gene_id,gene_name,region,vars,pc_var,eqtl,inside_ci,transporter,mutant_screen
WBGene00013668,Y105E8A.3,I:14358502-14367594,TRUE,FALSE,FALSE,FALSE,CDF,FALSE
WBGene00009286,F31C3.4,I:15050797-15052420,TRUE,TRUE,FALSE,FALSE,ZRT,FALSE
WBGene00019077,F59A3.4,I:5507123-5509288,TRUE,FALSE,FALSE,FALSE,ZRT,FALSE
WBGene00018897,F55F8.9,I:5669950-5673352,TRUE,FALSE,FALSE,FALSE,ZRT,FALSE
WBGene00010644,K07G5.5,I:7169997-7172189,FALSE,FALSE,FALSE,FALSE,CDF,FALSE
WBGene00013207,Y54G9A.4,II:13712921-13715893,TRUE,FALSE,FALSE,FALSE,ZRT,FALSE
WBGene00015940,C18A3.2,II:5718129-5720052,FALSE,FALSE,FALSE,FALSE,ZRT,FALSE
WBGene00012712,ttm-1,III:12952969-12966995,TRUE,TRUE,FALSE,FALSE,CDF,TRUE
WBGene00022174,Y71H2AM.9,III:2690160-2698817,TRUE,FALSE,FALSE,FALSE,CDF,FALSE
WBGene00006590,toc-1,III:5275225-5277797,TRUE,FALSE,FALSE,FALSE,CDF,FALSE
WBGene00018948,F56C9.3,III:7311290-7313195,TRUE,FALSE,FALSE,FALSE,CDF,FALSE
WBGene00014669,C06G8.3,IV:10799614-10802250,FALSE,FALSE,FALSE,FALSE,ZRT,FALSE
WBGene00044067,hke-4.1,IV:17285733-17287454,FALSE,FALSE,FALSE,FALSE,ZRT,FALSE
WBGene00006487,tag-141,IV:17364791-17366491,TRUE,TRUE,FALSE,FALSE,ZRT,FALSE
WBGene00017936,F30B5.7,IV:4229195-4231861,TRUE,FALSE,FALSE,FALSE,ZRT,FALSE
WBGene00044481,ZK185.5,IV:4541769-4545918,FALSE,FALSE,FALSE,FALSE,CDF,FALSE
WBGene00021936,Y55F3BL.2,IV:807439-824954,TRUE,FALSE,TRUE,FALSE,ZRT,FALSE
WBGene00006486,tag-140,V:11462999-11466770,TRUE,FALSE,TRUE,TRUE,ZRT,FALSE
WBGene00011329,T01D3.5,V:13712854-13716624,TRUE,FALSE,FALSE,TRUE,ZRT,FALSE
WBGene00019841,R02F11.3,V:4802647-4805947,FALSE,FALSE,FALSE,FALSE,CDF,FALSE
WBGene00007591,C14H10.1,X:10233739-10236944,TRUE,FALSE,FALSE,TRUE,ZRT,FALSE
WBGene00011821,cdf-2,X:12464640-12466917,FALSE,FALSE,FALSE,TRUE,CDF,TRUE
WBGene00006494,hke-4.2,X:15506037-15507880,TRUE,TRUE,FALSE,TRUE,ZRT,FALSE
WBGene00006353,sur-7,X:16376595-16380047,TRUE,FALSE,FALSE,FALSE,CDF,TRUE
WBGene00000393,cdf-1,X:6499928-6504613,TRUE,FALSE,FALSE,FALSE,CDF,TRUE
WBGene00018280,F41C6.7,X:6882493-6885277,TRUE,FALSE,FALSE,TRUE,CDF,FALSE
WBGene00019803,PDB1.1,X:7556788-7559085,TRUE,FALSE,FALSE,TRUE,CDF,FALSE
WBGene00008954,F19C6.5,X:9982402-9985005,TRUE,FALSE,FALSE,TRUE,CDF,FALSE
WBGene00004962,spe-8,I:118109-120870,TRUE,TRUE,FALSE,FALSE,NA,TRUE
WBGene00003996,pgp-2,I:5886613-5895970,TRUE,TRUE,FALSE,FALSE,NA,TRUE
WBGene00004966,spe-12,I:8224539-8226297,FALSE,FALSE,FALSE,FALSE,NA,TRUE
WBGene00007016,mdt-15,III:5828603-5833745,TRUE,TRUE,FALSE,FALSE,NA,TRUE
WBGene00004973,spe-27,IV:5864529-5865918,TRUE,FALSE,FALSE,FALSE,NA,TRUE
WBGene00004974,spe-29,IV:9933910-9934285,FALSE,FALSE,FALSE,FALSE,NA,TRUE
WBGene00003474,mtl-2,V:14018270-14018673,TRUE,FALSE,FALSE,TRUE,NA,TRUE
WBGene00000915,daf-21,V:14684918-14688543,TRUE,FALSE,FALSE,FALSE,NA,TRUE
WBGene00003473,mtl-1,V:6691371-6691863,FALSE,FALSE,FALSE,FALSE,NA,TRUE
WBGene00020719,natc-1,V:8462327-8465569,TRUE,FALSE,FALSE,FALSE,NA,TRUE
WBGene00001250,elt-2,X:10481240-10483446,TRUE,TRUE,FALSE,TRUE,NA,TRUE
WBGene00010341,glo-3,X:10533699-10537114,TRUE,FALSE,FALSE,TRUE,NA,TRUE
WBGene00009813,haly-1,X:10893567-10896598,TRUE,FALSE,FALSE,TRUE,NA,TRUE
WBGene00013976,nhr-33,X:11318278-11321085,TRUE,FALSE,FALSE,TRUE,NA,TRUE
WBGene00011083,glo-1,X:9872884-9882212,TRUE,FALSE,FALSE,TRUE,NA,TRUE
