date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype
20180320,chrX_nils,NA,NA,1,water,None,N2,A,1,median.TOF,212.5
20180320,chrX_nils,NA,NA,1,water,None,ECA931,A,11,median.TOF,220.5
20180320,chrX_nils,NA,NA,1,water,None,ECA931,A,12,median.TOF,204
20180320,chrX_nils,NA,NA,1,water,None,N2,A,2,median.TOF,234
20180320,chrX_nils,NA,NA,1,water,None,CB4856,A,3,median.TOF,241
20180320,chrX_nils,NA,NA,1,water,None,CB4856,A,4,median.TOF,217
20180320,chrX_nils,NA,NA,1,water,None,ECA828,A,5,median.TOF,229
20180320,chrX_nils,NA,NA,1,water,None,ECA828,A,6,median.TOF,230
20180320,chrX_nils,NA,NA,1,water,None,ECA828,A,7,median.TOF,228
20180320,chrX_nils,NA,NA,1,water,None,ECA929,A,8,median.TOF,239
20180320,chrX_nils,NA,NA,1,water,None,ECA929,A,9,median.TOF,215
20180320,chrX_nils,NA,NA,1,water,None,N2,B,1,median.TOF,191
20180320,chrX_nils,NA,NA,1,water,None,ECA931,B,12,median.TOF,203.5
20180320,chrX_nils,NA,NA,1,water,None,N2,B,2,median.TOF,246
20180320,chrX_nils,NA,NA,1,water,None,CB4856,B,3,median.TOF,228
20180320,chrX_nils,NA,NA,1,water,None,CB4856,B,4,median.TOF,219
20180320,chrX_nils,NA,NA,1,water,None,ECA828,B,5,median.TOF,226
20180320,chrX_nils,NA,NA,1,water,None,ECA828,B,6,median.TOF,241
20180320,chrX_nils,NA,NA,1,water,None,ECA828,B,7,median.TOF,249
20180320,chrX_nils,NA,NA,1,water,None,ECA929,B,8,median.TOF,216
20180320,chrX_nils,NA,NA,1,water,None,ECA929,B,9,median.TOF,235
20180320,chrX_nils,NA,NA,1,water,None,N2,C,1,median.TOF,235
20180320,chrX_nils,NA,NA,1,water,None,ECA929,C,10,median.TOF,221
20180320,chrX_nils,NA,NA,1,water,None,ECA931,C,11,median.TOF,211
20180320,chrX_nils,NA,NA,1,water,None,ECA931,C,12,median.TOF,237
20180320,chrX_nils,NA,NA,1,water,None,N2,C,2,median.TOF,226
20180320,chrX_nils,NA,NA,1,water,None,CB4856,C,3,median.TOF,217
20180320,chrX_nils,NA,NA,1,water,None,CB4856,C,4,median.TOF,225
20180320,chrX_nils,NA,NA,1,water,None,ECA828,C,5,median.TOF,223
20180320,chrX_nils,NA,NA,1,water,None,ECA828,C,6,median.TOF,254
20180320,chrX_nils,NA,NA,1,water,None,ECA828,C,7,median.TOF,244
20180320,chrX_nils,NA,NA,1,water,None,ECA929,C,8,median.TOF,231
20180320,chrX_nils,NA,NA,1,water,None,ECA929,C,9,median.TOF,237
20180320,chrX_nils,NA,NA,1,water,None,N2,D,1,median.TOF,213
20180320,chrX_nils,NA,NA,1,water,None,ECA929,D,10,median.TOF,238
20180320,chrX_nils,NA,NA,1,water,None,ECA931,D,11,median.TOF,215
20180320,chrX_nils,NA,NA,1,water,None,ECA931,D,12,median.TOF,219.5
20180320,chrX_nils,NA,NA,1,water,None,N2,D,2,median.TOF,238
20180320,chrX_nils,NA,NA,1,water,None,CB4856,D,3,median.TOF,240
20180320,chrX_nils,NA,NA,1,water,None,CB4856,D,4,median.TOF,212.5
20180320,chrX_nils,NA,NA,1,water,None,ECA828,D,5,median.TOF,226
20180320,chrX_nils,NA,NA,1,water,None,ECA828,D,6,median.TOF,254
20180320,chrX_nils,NA,NA,1,water,None,ECA828,D,7,median.TOF,242.5
20180320,chrX_nils,NA,NA,1,water,None,ECA929,D,8,median.TOF,224
20180320,chrX_nils,NA,NA,1,water,None,N2,E,1,median.TOF,189.5
20180320,chrX_nils,NA,NA,1,water,None,ECA929,E,10,median.TOF,218
20180320,chrX_nils,NA,NA,1,water,None,ECA931,E,11,median.TOF,217
20180320,chrX_nils,NA,NA,1,water,None,ECA931,E,12,median.TOF,223
20180320,chrX_nils,NA,NA,1,water,None,N2,E,2,median.TOF,221
20180320,chrX_nils,NA,NA,1,water,None,CB4856,E,3,median.TOF,239.5
20180320,chrX_nils,NA,NA,1,water,None,CB4856,E,4,median.TOF,220
20180320,chrX_nils,NA,NA,1,water,None,ECA828,E,5,median.TOF,225
20180320,chrX_nils,NA,NA,1,water,None,ECA828,E,6,median.TOF,244
20180320,chrX_nils,NA,NA,1,water,None,ECA828,E,7,median.TOF,212.5
